,folio,Documento,Cliente,Clave,Cantidad,SKUVARI,Precio,Fecha,Almacen
0,2,VTAWEB #44812,WEB,44812,1.0,AC10006,246.55,2024-11-30, 1
1,2,VTAWEB #44307,WEB,44307,1.0,AC10060,186.21,2024-11-30, 1
2,2,VTAWEB #44825,WEB,44825,1.0,AC10093,1655.17,2024-11-30, 1
3,2,VTAWEB #44818,WEB,44818,1.0,AC10098,312.07,2024-11-30, 1
4,2,VTAWEB #44812,WEB,44812,1.0,AC10102,246.55,2024-11-30, 1
5,2,VTAWEB #44769,WEB,44769,1.0,AC10118,519.83,2024-11-30, 1
6,2,VTAWEB #44767,WEB,44767,1.0,AC11015,368.1,2024-11-30, 1
7,2,VTAWEB #44817,WEB,44817,1.0,AC13007,381.9,2024-11-30, 1
8,2,VTAWEB #44825,WEB,44825,2.0,AC13012,756.03,2024-11-30, 1
9,2,VTAWEB #44791,WEB,44791,1.0,AC13012,756.03,2024-11-30, 1
10,2,VTAWEB #44792,WEB,44792,2.0,AC13042,343.1,2024-11-30, 1
11,2,VTAWEB #44801,WEB,44801,1.0,AC13042,343.1,2024-11-30, 1
12,2,VTAWEB #44307,WEB,44307,1.0,AC14004,176.72,2024-11-30, 1
13,2,VTAWEB #44825,WEB,44825,1.0,AC14010,193.1,2024-11-30, 1
14,2,VTAWEB #44799,WEB,44799,2.0,AC15015,85.34,2024-11-30, 1
15,2,VTAWEB #44818,WEB,44818,1.0,AC15042,143.1,2024-11-30, 1
16,2,VTAWEB #44777,WEB,44777,1.0,AC15050,241.38,2024-11-30, 1
17,2,VTAWEB #44825,WEB,44825,1.0,AC16003,218.97,2024-11-30, 1
18,2,VTAWEB #44307,WEB,44307,1.0,AC16003,218.97,2024-11-30, 1
19,2,VTAWEB #44825,WEB,44825,2.0,AC16011,299.0,2024-11-30, 1
20,2,VTAWEB #44516,WEB,44516,1.0,MR20071,1150.0,2024-11-30, 1
21,2,VTAWEB #44433,WEB,44433,1.0,MR20071,1150.0,2024-11-30, 1
22,2,VTAWEB #44713,WEB,44713,1.0,MR20074,825.0,2024-11-30, 1
23,2,VTAWEB #44774,WEB,44774,1.0,MR20155,673.28,2024-11-30, 1
24,2,VTAWEB #44797,WEB,44797,1.0,MR20253,130.0,2024-11-30, 1
25,2,VTAWEB #44277,WEB,44277,4.0,MR20256,483.0,2024-11-30, 1
26,2,VTAWEB #44799,WEB,44799,2.0,MR20256,483.0,2024-11-30, 1
